tmp, a, b: 0 -1073741824 -2
tmp, a, b: 2 2 -5000
tmp, a, b: -2 -1073741824 -5000
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 20 -1073741824 -20
tmp, a, b: 7 -1073741824 -20
tmp, a, b: 0 -1073741824 -20
tmp, a, b: 20 20 -5000
tmp, a, b: -20 -1073741824 -5000
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 9 -1073741824 -9
tmp, a, b: 4 -1073741824 -9
tmp, a, b: 2 -1073741824 -9
tmp, a, b: 2 -1073741824 -9
tmp, a, b: 9 9 -5000
tmp, a, b: -9 -1073741824 -5000
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 2 -5000
tmp, a, b: -2 -1073741824 -5000
tmp, a, b: 5000 5000 28
tmp, a, b: -5000 -1073741824 28
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 4 28
tmp, a, b: 0 4 0
tmp, a, b: 0 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 0 4 0
tmp, a, b: 0 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: 2 4 -2
tmp, a, b: 2 4 28
tmp, a, b: -4 -1073741824 4
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
